iter	Passed	Remaining
412	3440	4890
413	3446	4878
414	3456	4872
415	3468	4869
416	3476	4860
417	3484	4851
418	3495	4847
419	3501	4835
420	3511	4829
421	3521	4823
422	3529	4814
423	3537	4805
424	3548	4800
425	3556	4791
426	3566	4786
427	3576	4779
428	3589	4777
429	3599	4771
430	3607	4762
431	3616	4755
432	3629	4752
433	3635	4741
434	3644	4733
435	3650	4722
436	3655	4709
437	3665	4703
438	3672	4693
439	3678	4682
440	3685	4671
441	3691	4660
442	3700	4652
443	3709	4645
444	3721	4641
445	3732	4635
446	3744	4632
447	3762	4635
448	3773	4630
449	3787	4629
450	3795	4619
451	3803	4611
452	3815	4606
453	3825	4600
454	3833	4591
455	3843	4585
456	3854	4579
457	3865	4574
458	3875	4567
459	3888	4564
460	3901	4561
461	3916	4560
462	3932	4560
463	3943	4555
464	3960	4556
465	3974	4554
466	3986	4550
467	4002	4549
468	4016	4547
469	4027	4541
470	4040	4538
471	4050	4531
472	4057	4521
473	4069	4515
474	4079	4509
475	4094	4507
476	4104	4500
477	4115	4494
478	4126	4488
479	4138	4483
480	4146	4473
481	4157	4467
482	4172	4466
483	4182	4459
484	4193	4452
485	4207	4449
486	4219	4444
487	4231	4439
488	4239	4429
489	4250	4423
490	4259	4416
491	4271	4410
492	4280	4401
493	4287	4391
494	4296	4383
495	4308	4377
496	4318	4370
497	4328	4363
498	4337	4354
499	4345	4345
500	4359	4342
501	4367	4332
502	4379	4327
503	4385	4315
504	4393	4306
505	4405	4300
506	4412	4291
507	4423	4284
508	4434	4277
509	4449	4274
510	4461	4268
511	4470	4261
512	4478	4251
513	4490	4246
514	4498	4236
515	4506	4226
516	4514	4217
517	4529	4214
518	4543	4211
519	4551	4201
520	4560	4192
521	4566	4181
522	4579	4176
523	4591	4171
524	4601	4163
525	4612	4156
526	4620	4147
527	4627	4136
528	4634	4125
529	4643	4117
530	4651	4108
531	4661	4100
532	4676	4097
533	4683	4087
534	4692	4078
535	4701	4069
536	4717	4067
537	4725	4057
538	4735	4050
539	4742	4039
540	4751	4031
541	4761	4023
542	4774	4018
543	4788	4013
544	4795	4003
545	4802	3992
546	4809	3982
547	4820	3976
548	4826	3965
549	4836	3957
550	4845	3948
551	4851	3937
552	4858	3927
553	4869	3920
554	4875	3908
555	4885	3901
556	4892	3891
557	4904	3884
558	4916	3878
559	4926	3870
560	4934	3861
561	4944	3853
562	4952	3844
563	4960	3834
564	4966	3823
565	4978	3817
566	4989	3810
567	5003	3805
568	5012	3796
569	5024	3790
570	5038	3785
571	5044	3774
572	5053	3766
573	5065	3759
574	5077	3753
575	5089	3746
576	5100	3739
577	5107	3729
578	5115	3719
579	5124	3710
580	5133	3702
581	5142	3693
582	5156	3688
583	5167	3680
584	5178	3673
585	5188	3665
586	5197	3656
587	5212	3652
588	5228	3648
589	5240	3641
590	5250	3633
591	5257	3623
592	5265	3613
593	5272	3604
594	5278	3593
595	5289	3585
596	5298	3576
597	5309	3568
598	5318	3560
599	5325	3550
600	5340	3545
601	5351	3538
602	5365	3532
603	5374	3523
604	5385	3516
605	5392	3506
606	5401	3497
607	5410	3488
608	5420	3480
609	5428	3470
610	5444	3466
611	5454	3458
612	5462	3448
613	5478	3443
614	5489	3436
615	5495	3425
616	5505	3417
617	5517	3410
618	5531	3404
619	5541	3396
620	5555	3390
621	5571	3385
622	5579	3376
623	5587	3367
624	5598	3359
625	5605	3349
626	5613	3339
627	5621	3329
628	5633	3322
629	5649	3317
630	5661	3310
631	5677	3305
632	5686	3297
633	5699	3290
634	5712	3283
635	5726	3277
636	5735	3268
637	5744	3259
638	5751	3249
639	5758	3239
640	5768	3230
641	5779	3222
642	5785	3212
643	5794	3203
644	5805	3195
645	5815	3186
646	5827	3179
647	5834	3169
648	5845	3161
649	5853	3152
650	5863	3143
651	5874	3135
652	5884	3127
653	5899	3121
654	5915	3115
655	5928	3109
656	5939	3101
657	5949	3092
658	5963	3085
659	5972	3076
660	5979	3066
661	5990	3058
662	6001	3050
663	6013	3042
664	6022	3033
665	6032	3025
666	6040	3015
667	6048	3006
668	6060	2998
669	6069	2989
670	6074	2978
671	6085	2970
672	6096	2962
673	6102	2951
674	6115	2944
675	6124	2935
676	6134	2926
677	6140	2916
678	6154	2909
679	6160	2899
680	6169	2890
681	6177	2880
682	6185	2871
683	6196	2862
684	6205	2853
685	6217	2845
686	6232	2839
687	6242	2830
688	6253	2822
689	6264	2814
690	6274	2805
691	6284	2797
692	6292	2787
693	6302	2778
694	6315	2771
695	6321	2761
696	6329	2751
697	6343	2744
698	6349	2734
699	6356	2724
700	6365	2714
701	6372	2705
702	6383	2696
703	6395	2689
704	6402	2679
705	6411	2670
706	6418	2660
707	6428	2651
708	6435	2641
709	6444	2632
710	6457	2624
711	6465	2615
712	6479	2608
713	6492	2600
714	6498	2590
715	6507	2581
716	6522	2574
717	6532	2565
718	6545	2557
719	6552	2548
720	6564	2540
721	6576	2532
722	6583	2522
723	6592	2513
724	6607	2506
725	6621	2498
726	6630	2489
727	6640	2481
728	6656	2474
729	6668	2466
730	6677	2457
731	6686	2448
732	6702	2441
733	6716	2434
734	6728	2425
735	6734	2415
736	6746	2407
737	6752	2397
738	6764	2389
739	6777	2381
740	6785	2371
741	6795	2362
742	6809	2355
743	6820	2346
744	6835	2339
745	6849	2332
746	6863	2324
747	6870	2314
748	6878	2304
749	6886	2295
750	6893	2285
751	6903	2276
752	6913	2267
753	6922	2258
754	6930	2249
755	6938	2239
756	6949	2230
757	6961	2222
758	6967	2212
759	6975	2202
760	6982	2192
761	6990	2183
762	6997	2173
763	7010	2165
764	7018	2155
765	7030	2147
766	7040	2138
767	7049	2129
768	7060	2120
769	7068	2111
770	7075	2101
771	7081	2091
772	7087	2081
773	7096	2072
774	7106	2063
775	7114	2053
776	7121	2044
777	7134	2035
778	7148	2027
779	7159	2019
780	7169	2010
781	7181	2002
782	7192	1993
783	7201	1984
784	7212	1975
785	7220	1965
786	7229	1956
787	7236	1946
788	7244	1937
789	7257	1929
790	7265	1919
791	7272	1909
792	7284	1901
793	7295	1892
794	7304	1883
795	7312	1874
796	7320	1864
797	7330	1855
798	7343	1847
799	7352	1838
800	7361	1828
801	7367	1818
802	7378	1810
803	7388	1801
804	7396	1791
805	7409	1783
806	7422	1775
807	7435	1766
808	7446	1757
809	7456	1748
810	7464	1739
811	7471	1729
812	7479	1720
813	7486	1710
814	7494	1701
815	7500	1691
816	7509	1681
817	7519	1672
818	7535	1665
819	7544	1656
820	7553	1646
821	7563	1637
822	7577	1629
823	7585	1620
824	7593	1610
825	7601	1601
826	7608	1591
827	7617	1582
828	7632	1574
829	7645	1566
830	7654	1556
831	7666	1548
832	7676	1539
833	7688	1530
834	7694	1520
835	7707	1511
836	7717	1502
837	7728	1494
838	7738	1484
839	7745	1475
840	7757	1466
841	7766	1457
842	7772	1447
843	7785	1438
844	7797	1430
845	7806	1421
846	7814	1411
847	7825	1402
848	7834	1393
849	7844	1384
850	7854	1375
851	7865	1366
852	7880	1358
853	7888	1348
854	7896	1339
855	7904	1329
856	7918	1321
857	7933	1313
858	7945	1304
859	7953	1294
860	7959	1285
861	7967	1275
862	7977	1266
863	7983	1256
864	7995	1247
865	8001	1238
866	8010	1228
867	8021	1219
868	8036	1211
869	8042	1201
870	8054	1192
871	8064	1183
872	8076	1174
873	8089	1166
874	8097	1156
875	8103	1147
876	8118	1138
877	8129	1129
878	8142	1120
879	8152	1111
880	8168	1103
881	8179	1094
882	8189	1085
883	8201	1076
884	8214	1067
885	8222	1057
886	8235	1049
887	8246	1040
888	8258	1031
889	8271	1022
890	8285	1013
891	8294	1004
892	8307	995
893	8324	986
894	8332	977
895	8340	968
896	8348	958
897	8356	949
898	8364	939
899	8373	930
900	8379	920
901	8386	911
902	8394	901
903	8402	892
904	8412	883
905	8419	873
906	8425	863
907	8430	854
908	8445	845
909	8455	836
910	8467	827
911	8480	818
912	8489	808
913	8504	800
914	8512	790
915	8524	781
916	8532	772
917	8542	763
918	8548	753
919	8559	744
920	8571	735
921	8580	725
922	8592	716
923	8602	707
924	8611	698
925	8621	689
926	8634	679
927	8643	670
928	8653	661
929	8663	652
930	8678	643
931	8685	633
932	8694	624
933	8702	614
934	8718	606
935	8730	596
936	8740	587
937	8753	578
938	8762	569
939	8771	559
940	8782	550
941	8790	541
942	8801	532
943	8809	522
944	8818	513
945	8825	503
946	8833	494
947	8843	485
948	8852	475
949	8863	466
950	8874	457
951	8882	447
952	8890	438
953	8898	429
954	8906	419
955	8916	410
956	8922	400
957	8932	391
958	8939	382
959	8950	372
960	8962	363
961	8973	354
962	8982	345
963	8993	335
964	9001	326
965	9010	317
966	9019	307
967	9029	298
968	9034	289
969	9041	279
970	9048	270
971	9058	260
972	9065	251
973	9071	242
974	9081	232
975	9088	223
976	9098	214
977	9104	204
978	9111	195
979	9117	186
980	9124	176
981	9134	167
982	9139	158
983	9150	148
984	9158	139
985	9168	130
986	9175	120
987	9185	111
988	9190	102
989	9195	92
990	9199	83
991	9208	74
992	9215	64
993	9225	55
994	9231	46
995	9238	37
996	9244	27
997	9251	18
998	9257	9
999	9265	0
